ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,386,0.323207795,1.662756253,2.43E-06,0.001404549,NA,2925,"tags=23%, list=8%, signal=21%",BCL6/OPA1/KLHL6/PCYT1A/RNF168/TFRC/CD7/SECTM1/C17orf99/SOCS3/FOXJ1/UNC13D/IGHG1/IGHG3/IGHA2/IL12A/PMS2/IGHD/AHR/IGHV1-3/IGHV6-1/IGHA1/BATF/IGHV1-18/IGHV1-24/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-16/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-64D/IGHV3-7/IGHE/IGHG2/IGHG4/CD80/IGHV1-45/IGHV2-26/IGHV3-30/IGHV3-33/IGHV3-35/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-49/IGHV4-28/IGHV4-34/IGHV4-39/IGHV5-51/IGHV8-51-1/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-70D/IGHV3-66/IGHV1-58/IGHV3-53/IGHV3-64/IGHV4-59/IGHV4-61/IGHV4-4/IGHV7-4-1/IGHV2-5/RSAD2/IL17RA/IGHV2-70/IGHV3-72/IGHV3-73/IGHV3-74/IGHV7-81/FADD/MIR21/CD69/CLEC7A/KLRC1/KLRD1/AICDA/CLEC6A/IL6/CYRIB/C1R/C1RL/C1S/CD27/CD4/PTPN6/USP5
GO:0002443,leukocyte mediated immunity,471,0.308020212,1.609390536,3.06E-06,0.001624063,NA,4188,"tags=24%, list=11%, signal=22%",BCL6/PCYT1A/RNF168/TFRC/CD7/SECTM1/CD300A/C17orf99/FOXJ1/GRB2/UNC13D/CTSG/GZMB/IGHG1/IGHG3/DHX36/IGHA2/IL12A/PMS2/IGHD/AHR/IGHV1-3/IGHV6-1/IGHA1/BATF/MILR1/IGHV1-18/IGHV1-24/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-16/IGHV3-20/IGHV3-21/IGHV3-23/IGHV3-64D/IGHV3-7/IGHE/IGHG2/IGHG4/CD80/IGHV1-45/IGHV2-26/IGHV3-30/IGHV3-33/IGHV3-35/IGHV3-38/IGHV3-43/IGHV3-48/IGHV3-49/IGHV4-28/IGHV4-34/IGHV4-39/IGHV5-51/IGHV8-51-1/IGHV1-69/IGHV1-69-2/IGHV1-69D/IGHV2-70D/IGHV3-66/IGHV1-58/IGHV3-53/IGHV3-64/IGHV4-59/IGHV4-61/IGHV4-4/IGHV7-4-1/IGHV2-5/RSAD2/SNX4/IGHV2-70/IGHV3-72/IGHV3-73/IGHV3-74/IGHV7-81/FADD/CHGA/CLEC12B/CLEC2A/CLEC7A/KLRC1/KLRC2/KLRC3/KLRC4/KLRD1/KLRF2/KLRK1/AICDA/IL6/TIGIT/CYRIB/C1R/C1RL/C1S/CD27/LAG3/PTPN6/USP5/JAG1/DDX1/ACE/PTGDR/CD96/CLNK/WDR1/HMCES/GATA2/MYO1G/HLA-A/HLA-F/HLA-G/HLA-H/KLRB1/SHLD1
GO:0022617,extracellular matrix disassembly,72,-0.500942145,-2.130732882,3.37E-06,0.001650654,NA,5944,"tags=43%, list=16%, signal=36%",CLASP2/MMP19/MIR24-1/CTSV/KIF9/TPSAB1/NOXO1/LRP1/MIR98/ADAMTS4/MMP13/MMP1/MMP10/MMP12/MMP20/MMP3/MMP7/MMP8/PDPN/DDR2/ENG/MIR205/TGFB2/RECK/LAMC1/MIR29C/EXOC8/PBXIP1/ADAM15/CTSK/CTSS
GO:0048705,skeletal system morphogenesis,231,0.36356556,1.773222947,5.47E-06,0.002487178,NA,6612,"tags=32%, list=18%, signal=26%",NOG/DLG1/SOX9/EIF4A3/SHOX2/TIPARP/IFT80/UNCX/GSC/TWIST1/AXIN2/HOXA1/HOXA11/HOXA2/HOXA3/HOXA4/HOXA5/HOXA7/HOXA9/BMP4/MYCN/OSR1/FGF4/SOX11/SFRP4/SFRP1/TBX4/MGP/MSX1/FGF6/WNT9B/SIX1/SIX4/NKX3-2/GLI3/TFAP2A/TCF15/TRIP11/CHAD/FOXN3/MMP14/OTOR/COL1A1/CER1/FREM1/PHOSPHO1/MMP16/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/RYK/LRP5/BPNT2/EYA1/RDH10/GRHL2/PSEN1/TULP3/HAS2/EXT1/LAMA5/NLE1/OSR2/BMP7/CYP26B1/MYC/FOSL2
GO:0050913,sensory perception of bitter taste,42,0.590913565,2.209433886,6.12E-06,0.00253545,NA,2831,"tags=38%, list=8%, signal=35%",RTP1/RTP2/RTP4/LPO/TAS2R30/TAS2R31/TAS2R43/TAS2R46/TAS2R10/TAS2R13/TAS2R14/TAS2R7/TAS2R8/TAS2R9/TAS2R20/TAS2R50
GO:0048706,embryonic skeletal system development,136,0.418236867,1.893923642,6.37E-06,0.00253545,NA,5566,"tags=35%, list=15%, signal=30%",NOG/DLG1/MKS1/EIF4A3/SHOX2/GSC/TWIST1/HOXA1/HOXA11/HOXA2/HOXA3/HOXA4/HOXA5/HOXA6/HOXA7/HOXA9/BMP4/MYCN/OSR1/SOX11/WNT9B/SIX1/SIX4/NKX3-2/MBTD1/GLI3/TFAP2A/MMP14/COL1A1/DLX3/DLX4/MMP16/HOXB1/HOXB2/HOXB3/HOXB4/HOXB5/HOXB6/HOXB7/HOXB8/HOXB9/TAPT1/EYA1/RDH10/SULF1/GRHL2/TULP3/EXT1
GO:0030574,collagen catabolic process,45,-0.55946552,-2.143970923,2.01E-05,0.007507232,NA,2249,"tags=31%, list=6%, signal=29%",MMP13/MMP1/MMP10/MMP12/MMP20/MMP27/MMP3/MMP7/MMP8/MMP25/MMP23B/ADAM15/CTSK/CTSS
GO:0033700,phospholipid efflux,14,-0.779841979,-2.21440176,2.41E-05,0.008510526,NA,4599,"tags=71%, list=13%, signal=62%",ABCA7/SPNS1/ABCA3/ABCG1/ABCA1/APOA1/APOA4/APOA5/APOC3/APOA2
GO:0045229,external encapsulating structure organization,333,-0.297983914,-1.553479313,2.90E-05,0.009718554,NA,5944,"tags=26%, list=16%, signal=22%",CLASP2/MMP19/RUNX1/TGFBR3/ITGA8/ECM2/MIR24-1/MIR27B/TGFBR1/CTSV/MYH11/DPT/KAZALD1/NFKB2/CREB3L1/NOTCH1/RGCC/COL5A1/KIF9/TPSAB1/POMGNT1/POSTN/ADAMTSL2/NOXO1/COL5A3/LRP1/PRDX4/MIR98/FKTN/HMCN1/ADAMTS10/COL6A1/TNR/ADAMTS4/COL27A1/MPZL3/ADAMTS13/VWA1/MMP13/MMP1/MMP10/MMP12/MMP20/MMP27/MMP3/MMP7/MMP8/ABL1/POMT1/DAG1/LAMB2/PDPN/DDR2/OLFML2B/ENG/OLFML2A/HRNR/MIR205/TGFB2/COL12A1/MMP25/PHLDB1/RECK/B4GALT1/PLOD1/TNFRSF1B/ELF3/FMOD/OPTC/COLGALT2/LAMC1/MIR29C/AGT/EXOC8/WNT3A/HAPLN2/MIR9-1/ERO1B/NID1/ANGPTL7/MMP23B/PBXIP1/ADAM15/ADAMTSL4/CTSK/CTSS/QSOX1
GO:0002923,regulation of humoral immune response mediated by circulating immunoglobulin,16,-0.723357791,-2.123201297,4.00E-05,0.011563962,NA,2963,"tags=62%, list=8%, signal=57%",FCER2/FCGR2B/C4BPA/C4BPB/CD46/CR1/CR1L/CR2/SUSD4/PTPRC
